collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),TRIPILOS,,,,,1,7,27.8,,32.1,16.4,0.0,,,,13.0,,,,31.0,0.0,,,0.0,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),TRIPILOS,,,,,1,7,28.2,,32.1,16.4,1.5,,,,272.0,,,,31.0,0.0,,,0.771666,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),TRIPILOS,,,,,1,7,20.5,,32.1,16.4,1.7,,,,356.0,,,,46.0,0.0,,,0.874555,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),TRIPILOS,,,,,1,7,20.3,,20.9,20.2,4.4,,,,328.0,,,,34.0,0.0,,,2.263554,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),TRIPILOS,,,,,1,7,20.3,,20.9,20.1,3.9,,,,315.0,,,,31.0,0.0,,,2.006332,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),TRIPILOS,,,,,1,7,21.1,,21.1,20.1,1.4,,,,335.0,,,,31.0,0.0,,,0.720222,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),TRIPILOS,,,,,1,7,21.5,,21.6,20.1,2.6,,,,353.0,,,,35.0,0.0,,,1.337554,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),TRIPILOS,,,,,1,7,21.3,,21.8,20.1,3.8,,,,11.0,,,,36.0,0.0,,,1.954887,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),TRIPILOS,,,,,1,7,20.2,,21.8,19.8,1.7,,,,234.0,,,,33.0,0.0,,,0.874555,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),TRIPILOS,,,,,1,7,20.8,,21.8,19.6,1.9,,,,205.0,,,,27.0,0.0,,,0.977444,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),TRIPILOS,,,,,1,7,27.8,,28.1,19.6,1.5,,,,226.0,,,,22.0,0.0,,,0.771666,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),TRIPILOS,,,,,1,7,32.4,,32.9,19.6,3.5,,,,65.0,,,,19.0,0.0,,,1.800554,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),TRIPILOS,,,,,1,7,32.3,,33.5,19.6,4.5,,,,74.0,,,,20.0,0.0,,,2.314998,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),TRIPILOS,,,,,1,7,31.1,,33.5,19.6,5.3,,,,63.0,,,,22.0,0.0,,,2.726553,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),TRIPILOS,,,,,1,7,31.3,,33.5,19.6,1.9,,,,21.0,,,,21.0,0.0,,,0.977444,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),TRIPILOS,,,,,1,7,24.0,,33.5,19.6,3.1,,,,360.0,,,,32.0,0.0,,,1.594776,,
