collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),KOURIS,,,,,1,8,26.5,,28.5,26.4,10.2,4.0,,,20.0,,,,32.0,0.0,,,5.247329,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),KOURIS,,,,,1,8,27.8,,28.5,25.5,11.0,4.5,,,22.0,,,,33.0,0.0,,,5.658884,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),KOURIS,,,,,1,8,31.9,,32.1,25.5,5.0,1.9,,,144.0,,,,37.0,0.0,,,2.57222,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),KOURIS,,,,,1,8,35.3,,35.6,25.5,5.5,1.4,,,216.0,,,,32.0,0.0,,,2.829442,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),KOURIS,,,,,1,8,37.3,,37.4,25.5,5.8,1.4,,,211.0,,,,20.0,0.0,,,2.983775,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),KOURIS,,,,,1,8,37.1,,37.9,25.5,7.1,1.9,,,207.0,,,,24.0,0.0,,,3.652552,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),KOURIS,,,,,1,8,36.6,,37.9,25.5,9.6,1.9,,,214.0,,,,25.0,0.0,,,4.938662,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),KOURIS,,,,,1,8,35.4,,37.9,25.5,8.2,1.9,,,223.0,,,,29.0,0.0,,,4.218441,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),KOURIS,,,,,1,8,34.1,,37.9,25.5,7.1,1.6,,,223.0,,,,35.0,0.0,,,3.652552,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),KOURIS,,,,,1,8,31.8,,37.9,25.5,3.9,1.1,,,230.0,,,,36.0,0.0,,,2.006332,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),KOURIS,,,,,1,8,30.4,,37.9,25.5,5.5,1.8,,,319.0,,,,27.0,0.0,,,2.829442,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),KOURIS,,,,,1,8,29.3,,30.7,29.2,7.3,3.1,,,27.0,,,,35.0,0.0,,,3.755441,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),KOURIS,,,,,1,8,27.8,,30.7,27.7,11.8,4.7,,,18.0,,,,33.0,0.0,,,6.070439,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),KOURIS,,,,,1,8,27.2,,30.7,27.2,4.8,1.5,,,2.0,,,,33.0,0.0,,,2.469331,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),KOURIS,,,,,1,8,26.4,,30.7,26.4,6.0,1.8,,,16.0,,,,32.0,0.0,,,3.086664,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),KOURIS,,,,,1,8,25.9,,30.7,25.8,11.3,4.3,,,17.0,,,,32.0,0.0,,,5.813217,,
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),KOURIS,,,,,1,8,25.8,,30.7,24.9,15.5,5.1,,,14.0,,,,32.0,0.0,,,7.973882,,
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),KOURIS,,,,,1,8,25.2,,30.7,24.9,6.3,2.9,,,12.0,,,,30.0,0.0,,,3.240997,,
2026-08-02T04:30:00+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02 07:30 (Local Time),KOURIS,,,,,1,8,26.0,,30.7,23.5,9.6,4.0,,,19.0,,,,24.0,0.0,,,4.938662,,
2026-08-02T07:10:00+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02 10:00 (Local Time),KOURIS,,,,,1,8,33.9,,34.0,23.5,5.5,1.4,,,207.0,,,,19.0,0.0,,,2.829442,,
2026-08-02T09:20:00+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02 12:10 (Local Time),KOURIS,,,,,1,8,35.2,,35.5,23.5,7.9,2.0,,,208.0,,,,25.0,0.0,,,4.064108,,
2026-08-02T10:50:00+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02 13:40 (Local Time),KOURIS,,,,,1,8,34.3,,35.8,23.5,9.2,1.9,,,218.0,,,,31.0,0.0,,,4.732885,,
2026-08-02T11:50:00+00:00,2026-08-02T11:52:32.895203+00:00,2026-08-02T11:52:32.895203+00:00,2026-08-02 14:40 (Local Time),KOURIS,,,,,1,8,36.0,,36.1,23.5,10.4,2.3,,,209.0,,,,26.0,0.0,,,5.350218,,
2026-08-02T12:40:00+00:00,2026-08-02T12:46:04.429395+00:00,2026-08-02T12:46:04.429395+00:00,2026-08-02 15:40 (Local Time),KOURIS,,,,,1,8,36.4,,36.6,23.5,9.6,2.1,,,209.0,,,,23.0,0.0,,,4.938662,,
2026-08-02T14:10:00+00:00,2026-08-02T14:16:10.990858+00:00,2026-08-02T14:16:10.990858+00:00,2026-08-02 17:10 (Local Time),KOURIS,,,,,1,8,33.9,,36.6,23.5,10.8,2.1,,,213.0,,,,35.0,0.0,,,5.555995,,
2026-08-02T15:20:00+00:00,2026-08-02T15:29:09.234161+00:00,2026-08-02T15:29:09.234161+00:00,2026-08-02 18:20 (Local Time),KOURIS,,,,,1,8,32.8,,36.6,23.5,10.0,3.0,,,242.0,,,,29.0,0.0,,,5.14444,,
2026-08-02T16:30:00+00:00,2026-08-02T16:30:11.469882+00:00,2026-08-02T16:30:11.469882+00:00,2026-08-02 19:20 (Local Time),KOURIS,,,,,1,8,31.5,,36.6,23.5,9.0,3.3,,,260.0,,,,25.0,0.0,,,4.629996,,
2026-08-02T17:30:00+00:00,2026-08-02T17:36:11.284049+00:00,2026-08-02T17:36:11.284049+00:00,2026-08-02 20:30 (Local Time),KOURIS,,,,,1,8,29.0,,36.6,23.5,1.5,0.3,,,233.0,,,,30.0,0.0,,,0.771666,,
2026-08-02T18:30:00+00:00,2026-08-02T18:36:17.426863+00:00,2026-08-02T18:36:17.426863+00:00,2026-08-02 21:30 (Local Time),KOURIS,,,,,1,8,28.1,,28.2,27.3,3.3,1.4,,,30.0,,,,30.0,0.0,,,1.697665,,
2026-08-02T19:40:00+00:00,2026-08-02T19:48:35.385902+00:00,2026-08-02T19:48:35.385902+00:00,2026-08-02 22:40 (Local Time),KOURIS,,,,,1,8,28.3,,28.8,27.3,9.4,3.3,,,16.0,,,,32.0,0.0,,,4.835774,,
2026-08-02T20:30:00+00:00,2026-08-02T20:38:47.602112+00:00,2026-08-02T20:38:47.602112+00:00,2026-08-02 23:30 (Local Time),KOURIS,,,,,1,8,27.0,,28.9,26.8,11.2,4.3,,,21.0,,,,36.0,0.0,,,5.761773,,
2026-08-02T21:30:00+00:00,2026-08-02T21:36:48.374714+00:00,2026-08-02T21:36:48.374714+00:00,2026-08-03 00:30 (Local Time),KOURIS,,,,,1,8,26.4,,28.9,26.2,11.4,4.6,,,18.0,,,,35.0,0.0,,,5.864662,,
2026-08-02T22:30:00+00:00,2026-08-02T22:33:26.325246+00:00,2026-08-02T22:33:26.325246+00:00,2026-08-03 01:20 (Local Time),KOURIS,,,,,1,8,25.7,,28.9,25.6,13.2,4.5,,,14.0,,,,36.0,0.0,,,6.790661,,
2026-08-02T23:30:00+00:00,2026-08-02T23:32:31.667754+00:00,2026-08-02T23:32:31.667754+00:00,2026-08-03 02:20 (Local Time),KOURIS,,,,,1,8,25.1,,28.9,24.9,11.2,3.6,,,16.0,,,,38.0,0.0,,,5.761773,,
