collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),ATHIENOU,,,,,1,9,33.0,42.9,36.7,22.5,13.3,5.4,,,138.0,,,,27.0,0.0,,,6.842105,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),ATHIENOU,,,,,1,9,31.4,38.5,36.7,22.5,10.8,4.2,,,146.0,,,,42.0,0.0,,,5.555995,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),ATHIENOU,,,,,1,9,28.1,27.1,36.7,22.5,7.5,2.4,,,213.0,,,,58.0,0.0,,,3.85833,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),ATHIENOU,,,,,1,9,26.5,25.6,27.5,26.4,9.7,2.5,,,267.0,,,,57.0,0.0,,,4.990107,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),ATHIENOU,,,,,1,9,25.5,24.8,27.5,25.4,11.0,3.4,,,279.0,,,,64.0,0.0,,,5.658884,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),ATHIENOU,,,,,1,9,24.6,23.5,27.5,24.4,9.3,2.2,,,259.0,,,,53.0,0.0,,,4.784329,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),ATHIENOU,,,,,1,9,25.4,24.2,27.5,24.4,11.2,3.0,,,260.0,,,,37.0,0.0,,,5.761773,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),ATHIENOU,,,,,1,9,25.1,23.8,27.5,24.4,10.4,2.9,,,266.0,,,,37.0,0.0,,,5.350218,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),ATHIENOU,,,,,1,9,24.6,23.0,27.5,24.0,10.3,2.5,,,252.0,,,,36.0,0.0,,,5.298773,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),ATHIENOU,,,,,1,9,27.8,29.0,28.0,23.5,5.6,1.5,,,242.0,,,,26.0,0.0,,,2.880886,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),ATHIENOU,,,,,1,9,33.9,43.6,34.2,23.5,7.4,1.5,,,314.0,,,,19.0,0.0,,,3.806886,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),ATHIENOU,,,,,1,9,37.5,51.7,37.8,23.5,3.9,1.2,,,325.0,,,,14.0,0.0,,,2.006332,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),ATHIENOU,,,,,1,9,38.7,52.1,40.2,23.5,11.7,4.8,,,135.0,,,,19.0,0.0,,,6.018995,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),ATHIENOU,,,,,1,9,37.5,49.1,40.2,23.5,12.7,5.1,,,141.0,,,,18.0,0.0,,,6.533439,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),ATHIENOU,,,,,1,9,35.2,40.6,40.2,23.5,10.1,3.8,,,145.0,,,,18.0,0.0,,,5.195884,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),ATHIENOU,,,,,1,9,32.0,30.8,40.2,23.5,6.1,1.4,,,264.0,,,,32.0,0.0,,,3.138108,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),ATHIENOU,,,,,1,9,29.8,27.8,30.0,29.7,7.8,1.8,,,239.0,,,,29.0,0.0,,,4.012663,,
2026-07-28T19:50:00+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28 22:50 (Local Time),ATHIENOU,,,,,1,9,29.4,26.9,30.0,29.1,7.4,1.5,,,236.0,,,,24.0,0.0,,,3.806886,,
2026-07-28T21:10:00+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-29 00:10 (Local Time),ATHIENOU,,,,,1,9,29.1,26.6,30.0,29.1,7.2,1.6,,,244.0,,,,24.0,0.0,,,3.703997,,
