collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,21.1,,23.7,21.0,6.1,0.9,,0.0,181.0,,,,47.0,0.0,,,3.138108,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,22.2,,23.7,20.8,3.9,1.1,,19.0,150.0,,,,46.0,0.0,,,2.006332,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.9,,33.0,20.8,1.8,0.9,,692.0,328.0,,,,23.0,0.0,,,0.925999,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,34.5,,35.4,20.8,6.0,1.5,,955.0,330.0,,,,26.0,0.0,,,3.086664,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),KALOPANAYIOTIS,,,,,1,9,33.5,,35.7,20.8,7.4,1.6,,835.0,327.0,,,,32.0,0.0,,,3.806886,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),KALOPANAYIOTIS,,,,,1,9,35.1,,35.7,20.8,7.2,1.6,,767.0,327.0,,,,33.0,0.0,,,3.703997,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,33.9,,35.7,20.8,5.6,1.1,,514.0,329.0,,,,34.0,0.0,,,2.880886,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.8,,35.7,20.8,6.3,1.4,,496.0,327.0,,,,39.0,0.0,,,3.240997,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,30.5,,35.7,20.8,4.7,0.9,,198.0,337.0,,,,57.0,0.0,,,2.417887,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,26.3,,35.7,20.8,1.5,0.3,,0.0,304.0,,,,78.0,0.0,,,0.771666,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,24.1,,35.7,20.8,3.6,1.0,,0.0,159.0,,,,61.0,0.0,,,1.851998,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,22.2,,22.6,22.1,4.5,1.2,,0.0,167.0,,,,53.0,0.0,,,2.314998,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),KALOPANAYIOTIS,,,,,1,9,21.6,,22.6,21.5,5.1,1.0,,0.0,183.0,,,,55.0,0.0,,,2.623664,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,21.2,,22.6,21.1,6.0,0.8,,0.0,185.0,,,,48.0,0.0,,,3.086664,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.4,,22.6,20.4,5.4,1.1,,0.0,174.0,,,,43.0,0.0,,,2.777998,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.0,,22.6,20.0,6.5,1.0,,0.0,182.0,,,,41.0,0.0,,,3.343886,,
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,19.9,,22.6,19.8,7.1,0.6,,0.0,182.0,,,,41.0,0.0,,,3.652552,,
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,19.3,,22.6,19.2,5.9,1.1,,0.0,181.0,,,,42.0,0.0,,,3.03522,,
2026-08-02T04:30:00+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02 07:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,19.7,,22.6,18.2,4.6,1.5,,12.0,167.0,,,,41.0,0.0,,,2.366442,,
2026-08-02T07:10:00+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02 10:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.0,,32.3,18.2,0.8,0.6,,731.0,203.0,,,,17.0,0.0,,,0.411555,,
2026-08-02T09:20:00+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02 12:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.8,,33.0,18.2,6.0,1.4,,961.0,329.0,,,,23.0,0.0,,,3.086664,,
2026-08-02T10:50:00+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02 13:40 (Local Time),KALOPANAYIOTIS,,,,,1,9,33.2,,34.6,18.2,6.3,1.4,,952.0,340.0,,,,31.0,0.0,,,3.240997,,
2026-08-02T11:50:00+00:00,2026-08-02T11:52:32.895203+00:00,2026-08-02T11:52:32.895203+00:00,2026-08-02 14:40 (Local Time),KALOPANAYIOTIS,,,,,1,9,33.3,,34.6,18.2,4.5,1.1,,878.0,335.0,,,,29.0,0.0,,,2.314998,,
2026-08-02T12:40:00+00:00,2026-08-02T12:46:04.429395+00:00,2026-08-02T12:46:04.429395+00:00,2026-08-02 15:40 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.7,,34.6,18.2,6.6,1.3,,749.0,332.0,,,,34.0,0.0,,,3.39533,,
2026-08-02T14:10:00+00:00,2026-08-02T14:16:10.990858+00:00,2026-08-02T14:16:10.990858+00:00,2026-08-02 17:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,31.8,,34.6,18.2,5.4,1.2,,478.0,330.0,,,,36.0,0.0,,,2.777998,,
2026-08-02T15:20:00+00:00,2026-08-02T15:29:09.234161+00:00,2026-08-02T15:29:09.234161+00:00,2026-08-02 18:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,30.2,,34.6,18.2,5.7,1.2,,232.0,325.0,,,,38.0,0.0,,,2.932331,,
2026-08-02T16:30:00+00:00,2026-08-02T16:30:11.469882+00:00,2026-08-02T16:30:11.469882+00:00,2026-08-02 19:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,25.8,,34.6,18.2,1.5,0.4,,0.0,322.0,,,,58.0,0.0,,,0.771666,,
2026-08-02T17:30:00+00:00,2026-08-02T17:36:11.284049+00:00,2026-08-02T17:36:11.284049+00:00,2026-08-02 20:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,22.8,,34.6,18.2,3.7,1.1,,0.0,170.0,,,,54.0,0.0,,,1.903443,,
