collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),ZYGI,,,,,1,9,29.8,35.0,34.3,18.6,6.1,2.3,,,202.0,,,,63.0,0.0,,,3.138108,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),ZYGI,,,,,1,9,29.1,32.6,34.3,18.6,5.0,1.3,,,177.0,,,,65.0,0.0,,,2.57222,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),ZYGI,,,,,1,9,26.4,26.6,34.3,18.6,1.5,0.1,,,140.0,,,,69.0,0.0,,,0.771666,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),ZYGI,,,,,1,9,23.4,23.6,24.3,23.4,1.3,0.2,,,25.0,,,,76.0,0.0,,,0.668777,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),ZYGI,,,,,1,9,21.9,21.9,24.3,21.8,1.7,0.1,,,345.0,,,,74.0,0.0,,,0.874555,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),ZYGI,,,,,1,9,22.1,21.0,24.3,21.3,1.3,0.0,,,8.0,,,,58.0,0.0,,,0.668777,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),ZYGI,,,,,1,9,20.5,19.6,24.3,20.4,1.3,0.3,,,338.0,,,,60.0,0.0,,,0.668777,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),ZYGI,,,,,1,9,19.5,19.1,24.3,19.5,1.4,0.2,,,336.0,,,,63.0,0.0,,,0.720222,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),ZYGI,,,,,1,9,19.7,19.0,24.3,18.5,1.7,0.4,,,322.0,,,,56.0,0.0,,,0.874555,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),ZYGI,,,,,1,9,21.0,21.2,24.3,17.5,1.5,0.1,,,305.0,,,,56.0,0.0,,,0.771666,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),ZYGI,,,,,1,9,31.8,39.4,32.2,17.5,4.5,1.5,,,183.0,,,,32.0,0.0,,,2.314998,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),ZYGI,,,,,1,9,32.6,42.8,33.5,17.5,3.1,1.3,,,180.0,,,,35.0,0.0,,,1.594776,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),ZYGI,,,,,1,9,36.5,46.0,37.2,17.5,3.5,1.4,,,217.0,,,,30.0,0.0,,,1.800554,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),ZYGI,,,,,1,9,32.6,40.9,37.2,17.5,3.2,1.2,,,231.0,,,,58.0,0.0,,,1.646221,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),ZYGI,,,,,1,9,29.7,32.4,37.2,17.5,2.5,1.6,,,222.0,,,,68.0,0.0,,,1.28611,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),ZYGI,,,,,1,9,28.5,28.8,37.2,17.5,1.2,0.9,,,257.0,,,,62.0,0.0,,,0.617333,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),ZYGI,,,,,1,9,27.1,27.2,27.2,27.0,0.6,0.5,,,217.0,,,,74.0,0.0,,,0.308666,,
2026-07-28T19:50:00+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28 22:50 (Local Time),ZYGI,,,,,1,9,23.5,23.9,27.2,23.5,1.7,0.2,,,333.0,,,,77.0,0.0,,,0.874555,,
2026-07-28T21:10:00+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-29 00:10 (Local Time),ZYGI,,,,,1,9,22.4,22.4,27.2,22.3,2.2,0.4,,,326.0,,,,72.0,0.0,,,1.131777,,
2026-07-28T22:10:00+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-29 01:10 (Local Time),ZYGI,,,,,1,9,22.2,21.7,27.2,22.1,1.4,0.1,,,320.0,,,,61.0,0.0,,,0.720222,,
