collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),TAMASOS,,,,,1,9,21.6,21.3,27.4,21.6,2.8,0.5,,,191.0,,,,55.0,0.0,,,1.440443,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),TAMASOS,,,,,1,9,24.8,28.0,27.4,20.7,2.5,0.5,,,185.0,,,,38.0,0.0,,,1.28611,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),TAMASOS,,,,,1,9,33.8,44.1,34.0,20.7,3.0,1.2,,,121.0,,,,24.0,0.0,,,1.543332,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),TAMASOS,,,,,1,9,35.7,47.8,36.0,20.7,4.3,1.5,,,128.0,,,,20.0,0.0,,,2.212109,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),TAMASOS,,,,,1,9,36.2,49.3,37.6,20.7,4.0,1.5,,,192.0,,,,16.0,0.0,,,2.057776,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),TAMASOS,,,,,1,9,34.6,42.3,37.6,20.7,11.7,3.3,,,292.0,,,,32.0,0.0,,,6.018995,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),TAMASOS,,,,,1,9,33.7,41.9,37.6,20.7,6.9,2.4,,,289.0,,,,30.0,0.0,,,3.549664,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),TAMASOS,,,,,1,9,32.4,33.3,37.6,20.7,6.1,2.1,,,284.0,,,,33.0,0.0,,,3.138108,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),TAMASOS,,,,,1,9,31.3,32.3,37.6,20.7,3.2,1.1,,,320.0,,,,29.0,0.0,,,1.646221,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),TAMASOS,,,,,1,9,29.4,30.9,37.6,20.7,4.6,1.4,,,291.0,,,,40.0,0.0,,,2.366442,,
