collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),CAVO_GRECO,,,,,1,9,23.2,,26.7,23.1,2.4,0.4,,,338.0,,,,91.0,0.0,996.8,,1.234666,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),CAVO_GRECO,,,,,1,9,28.4,,28.5,22.6,4.0,1.5,,,148.0,,,,81.0,0.0,997.8,,2.057776,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),CAVO_GRECO,,,,,1,9,31.3,,32.1,22.6,4.7,1.6,,,173.0,,,,65.0,0.0,998.5,,2.417887,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),CAVO_GRECO,,,,,1,9,31.3,,32.1,22.6,5.1,2.3,,,227.0,,,,66.0,0.0,998.7,,2.623664,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),CAVO_GRECO,,,,,1,9,31.3,,32.1,22.6,7.2,2.9,,,219.0,,,,64.0,0.0,998.7,,3.703997,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),CAVO_GRECO,,,,,1,9,31.0,,32.1,22.6,8.3,3.4,,,222.0,,,,63.0,0.0,998.7,,4.269885,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),CAVO_GRECO,,,,,1,9,31.3,,32.1,22.6,8.5,3.3,,,236.0,,,,64.0,0.0,998.5,,4.372774,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),CAVO_GRECO,,,,,1,9,31.0,,32.1,22.6,7.8,2.8,,,222.0,,,,65.0,0.0,998.3,,4.012663,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),CAVO_GRECO,,,,,1,9,30.0,,32.1,22.6,9.0,2.9,,,240.0,,,,67.0,0.0,998.3,,4.629996,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),CAVO_GRECO,,,,,1,9,28.3,,32.1,22.6,9.9,3.1,,,247.0,,,,71.0,0.0,998.4,,5.092996,,
