collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),TAMASOS,,,,,1,9,33.8,35.0,35.6,22.9,5.9,1.9,,,308.0,,,,19.0,0.0,,,3.03522,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),TAMASOS,,,,,1,9,30.5,31.3,35.6,22.9,8.8,2.6,,,291.0,,,,30.0,0.0,,,4.527107,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),TAMASOS,,,,,1,9,26.7,26.5,35.6,22.9,3.7,1.3,,,312.0,,,,51.0,0.0,,,1.903443,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),TAMASOS,,,,,1,9,25.1,24.9,25.4,24.9,3.5,1.1,,,249.0,,,,56.0,0.0,,,1.800554,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),TAMASOS,,,,,1,9,25.1,24.4,26.4,24.8,4.4,1.3,,,292.0,,,,49.0,0.0,,,2.263554,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),TAMASOS,,,,,1,9,25.6,25.2,26.4,24.6,5.6,1.8,,,257.0,,,,32.0,0.0,,,2.880886,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),TAMASOS,,,,,1,9,25.4,24.7,26.4,24.6,3.2,1.1,,,286.0,,,,30.0,0.0,,,1.646221,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),TAMASOS,,,,,1,9,25.9,25.1,26.4,24.6,4.3,1.4,,,248.0,,,,28.0,0.0,,,2.212109,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),TAMASOS,,,,,1,9,25.9,25.0,26.4,24.6,3.3,0.9,,,281.0,,,,28.0,0.0,,,1.697665,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),TAMASOS,,,,,1,9,28.7,29.0,28.9,22.5,4.0,1.2,,,243.0,,,,23.0,0.0,,,2.057776,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),TAMASOS,,,,,1,9,33.4,43.0,33.7,22.5,4.3,1.6,,,352.0,,,,15.0,0.0,,,2.212109,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),TAMASOS,,,,,1,9,36.3,51.8,36.8,22.5,2.4,1.3,,,346.0,,,,14.0,0.0,,,1.234666,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),TAMASOS,,,,,1,9,37.8,52.1,38.7,22.5,2.6,1.1,,,355.0,,,,16.0,0.0,,,1.337554,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),TAMASOS,,,,,1,9,37.8,48.8,38.7,22.5,6.2,2.1,,,80.0,,,,15.0,0.0,,,3.189553,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),TAMASOS,,,,,1,9,32.1,33.0,38.7,22.5,6.8,2.0,,,295.0,,,,41.0,0.0,,,3.498219,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),TAMASOS,,,,,1,9,30.0,29.8,38.7,22.5,2.4,1.1,,,258.0,,,,27.0,0.0,,,1.234666,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),TAMASOS,,,,,1,9,30.2,29.7,30.2,30.2,3.4,1.3,,,237.0,,,,22.0,0.0,,,1.74911,,
2026-07-28T19:50:00+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28 22:50 (Local Time),TAMASOS,,,,,1,9,29.2,28.6,30.3,28.4,3.7,1.1,,,231.0,,,,29.0,0.0,,,1.903443,,
2026-07-28T21:10:00+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-29 00:10 (Local Time),TAMASOS,,,,,1,9,29.1,28.2,30.3,28.4,3.4,1.1,,,229.0,,,,26.0,0.0,,,1.74911,,
2026-07-28T22:10:00+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-29 01:10 (Local Time),TAMASOS,,,,,1,9,27.8,26.1,30.9,27.4,0.7,0.8,,,44.0,,,,25.0,0.0,,,0.360111,,
2026-07-28T23:20:00+00:00,2026-07-28T23:27:24.364687+00:00,2026-07-28T23:27:24.364687+00:00,2026-07-29 02:20 (Local Time),TAMASOS,,,,,1,9,29.1,28.3,30.9,26.5,4.5,1.2,,,238.0,,,,24.0,0.0,,,2.314998,,
2026-07-29T01:00:00+00:00,2026-07-29T01:01:40.082861+00:00,2026-07-29T01:01:40.082861+00:00,2026-07-29 03:50 (Local Time),TAMASOS,,,,,1,9,30.2,29.5,30.9,26.5,4.2,1.5,,,257.0,,,,26.0,0.0,,,2.160665,,
2026-07-29T04:10:00+00:00,2026-07-29T04:19:36.420855+00:00,2026-07-29T04:19:36.420855+00:00,2026-07-29 07:10 (Local Time),TAMASOS,,,,,1,9,29.8,29.8,30.9,26.5,4.2,1.4,,,288.0,,,,28.0,0.0,,,2.160665,,
2026-07-29T07:00:00+00:00,2026-07-29T07:09:26.255488+00:00,2026-07-29T07:09:26.255488+00:00,2026-07-29 10:00 (Local Time),TAMASOS,,,,,1,9,33.3,44.5,33.4,26.5,3.6,1.2,,,319.0,,,,22.0,0.0,,,1.851998,,
2026-07-29T09:40:00+00:00,2026-07-29T09:48:45.625540+00:00,2026-07-29T09:48:45.625540+00:00,2026-07-29 12:40 (Local Time),TAMASOS,,,,,1,9,35.4,48.8,35.6,26.5,3.3,1.5,,,316.0,,,,18.0,0.0,,,1.697665,,
2026-07-29T11:50:00+00:00,2026-07-29T11:51:26.079221+00:00,2026-07-29T11:51:26.079221+00:00,2026-07-29 14:40 (Local Time),TAMASOS,,,,,1,9,36.9,49.9,37.2,26.5,6.9,2.3,,,360.0,,,,13.0,0.0,,,3.549664,,
2026-07-29T13:20:00+00:00,2026-07-29T13:28:00.467181+00:00,2026-07-29T13:28:00.467181+00:00,2026-07-29 16:20 (Local Time),TAMASOS,,,,,1,9,36.1,45.9,37.5,26.5,8.3,2.3,,,358.0,,,,14.0,0.0,,,4.269885,,
2026-07-29T15:30:00+00:00,2026-07-29T15:32:20.605422+00:00,2026-07-29T15:32:20.605422+00:00,2026-07-29 18:20 (Local Time),TAMASOS,,,,,1,9,34.6,35.0,37.5,26.5,6.3,1.7,,,344.0,,,,16.0,0.0,,,3.240997,,
2026-07-29T16:50:00+00:00,2026-07-29T16:52:17.939238+00:00,2026-07-29T16:52:17.939238+00:00,2026-07-29 19:40 (Local Time),TAMASOS,,,,,1,9,31.4,31.1,37.5,26.5,5.1,1.5,,,289.0,,,,27.0,0.0,,,2.623664,,
2026-07-29T18:00:00+00:00,2026-07-29T18:00:00.589899+00:00,2026-07-29T18:00:00.589899+00:00,2026-07-29 20:50 (Local Time),TAMASOS,,,,,1,9,28.5,27.7,37.5,26.5,1.3,0.5,,,250.0,,,,36.0,0.0,,,0.668777,,
2026-07-29T19:30:00+00:00,2026-07-29T19:36:48.934214+00:00,2026-07-29T19:36:48.934214+00:00,2026-07-29 22:30 (Local Time),TAMASOS,,,,,1,9,29.1,28.6,29.1,28.4,4.2,1.7,,,250.0,,,,27.0,0.0,,,2.160665,,
2026-07-29T20:30:00+00:00,2026-07-29T20:33:05.590096+00:00,2026-07-29T20:33:05.590096+00:00,2026-07-29 23:20 (Local Time),TAMASOS,,,,,1,9,29.1,28.7,29.2,28.4,6.4,1.8,,,246.0,,,,25.0,0.0,,,3.292442,,
