collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),SAITTAS,,,,,1,5,34.5,,35.2,18.4,,,,,,,,,28.0,0.0,,,,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),SAITTAS,,,,,1,5,31.8,,35.2,18.4,,,,,,,,,30.0,0.0,,,,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),SAITTAS,,,,,1,5,26.3,,35.2,18.4,,,,,,,,,39.0,0.0,,,,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),SAITTAS,,,,,1,5,22.2,,23.0,22.1,,,,,,,,,43.0,0.0,,,,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),SAITTAS,,,,,1,5,22.2,,23.0,21.3,,,,,,,,,43.0,0.0,,,,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),SAITTAS,,,,,1,5,21.9,,23.3,21.3,,,,,,,,,42.0,0.0,,,,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),SAITTAS,,,,,1,5,20.5,,23.3,20.4,,,,,,,,,42.0,0.0,,,,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),SAITTAS,,,,,1,5,20.1,,23.3,19.7,,,,,,,,,42.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),SAITTAS,,,,,1,5,19.6,,23.3,19.2,,,,,,,,,39.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),SAITTAS,,,,,1,5,20.8,,23.3,18.8,,,,,,,,,38.0,0.0,,,,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),SAITTAS,,,,,1,5,32.7,,32.9,18.8,,,,,,,,,21.0,0.0,,,,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),SAITTAS,,,,,1,5,35.9,,36.4,18.8,,,,,,,,,21.0,0.0,,,,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),SAITTAS,,,,,1,5,36.8,,37.2,18.8,,,,,,,,,20.0,0.0,,,,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),SAITTAS,,,,,1,5,36.7,,37.2,18.8,,,,,,,,,27.0,0.0,,,,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),SAITTAS,,,,,1,5,33.0,,37.2,18.8,,,,,,,,,33.0,0.0,,,,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),SAITTAS,,,,,1,5,27.8,,37.2,18.8,,,,,,,,,44.0,0.0,,,,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),SAITTAS,,,,,1,5,25.3,,25.5,25.2,,,,,,,,,43.0,0.0,,,,,
