collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),LCPH,,,,,1,9,24.1,,27.7,23.8,,1.2,,,,,,,53.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1003.9}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 21.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 6.1}}"
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),LCPH,,,,,1,9,27.3,,27.7,23.6,,0.6,,,,,,,35.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1004.5}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 19.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 3.1}}"
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),LCPH,,,,,1,9,28.6,,30.5,23.6,,1.4,,,,,,,65.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1005.5}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 209.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 3.7}}"
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),LCPH,,,,,1,9,30.3,,30.7,23.6,,1.8,,,,,,,74.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.0}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 212.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 5.1}}"
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),LCPH,,,,,1,9,31.4,,31.7,23.6,,2.3,,,,,,,68.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1005.9}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 227.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 6.1}}"
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),LCPH,,,,,1,9,31.6,,31.9,23.6,,2.6,,,,,,,62.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.0}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 232.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 7.2}}"
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),LCPH,,,,,1,9,31.1,,31.9,23.6,,2.3,,,,,,,65.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1005.9}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 236.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 6.7}}"
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),LCPH,,,,,1,9,30.1,,31.9,23.6,,3.2,,,,,,,74.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1005.9}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 275.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 9.3}}"
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),LCPH,,,,,1,9,29.4,,31.9,23.6,,3.1,,,,,,,75.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1005.7}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 268.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 9.3}}"
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),LCPH,,,,,1,9,28.4,,31.9,23.6,,2.7,,,,,,,78.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.0}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 280.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 7.6}}"
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),LCPH,,,,,1,9,27.6,,31.9,23.6,,2.3,,,,,,,82.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.2}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 277.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 6.6}}"
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),LCPH,,,,,1,9,27.1,,27.3,27.1,,0.8,,,,,,,85.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.6}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 292.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 4.5}}"
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),LCPH,,,,,1,9,24.8,,27.3,24.5,,1.1,,,,,,,62.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.8}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 6.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 4.7}}"
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),LCPH,,,,,1,9,26.1,,27.3,24.5,,0.6,,,,,,,48.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.9}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 23.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 4.3}}"
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),LCPH,,,,,1,9,24.3,,27.3,24.2,,1.8,,,,,,,43.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1007.1}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 16.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 5.9}}"
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),LCPH,,,,,1,9,23.8,,27.3,23.8,,1.8,,,,,,,41.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.5}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 28.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 7.5}}"
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),LCPH,,,,,1,9,23.6,,27.3,23.4,,2.0,,,,,,,37.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.2}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 28.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 8.0}}"
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),LCPH,,,,,1,9,23.2,,27.3,23.0,,2.0,,,,,,,36.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1006.3}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 27.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 8.4}}"
2026-08-02T04:30:00+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02 07:30 (Local Time),LCPH,,,,,1,9,26.2,,27.3,22.7,,2.0,,,,,,,40.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1007.8}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 27.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 6.8}}"
2026-08-02T07:10:00+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02 10:00 (Local Time),LCPH,,,,,1,9,28.2,,29.7,22.7,,3.0,,,,,,,74.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1008.1}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 261.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 8.6}}"
2026-08-02T09:20:00+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02 12:10 (Local Time),LCPH,,,,,1,9,28.7,,29.7,22.7,,3.2,,,,,,,74.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1008.9}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 267.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 9.0}}"
2026-08-02T10:50:00+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02 13:40 (Local Time),LCPH,,,,,1,9,29.8,,30.2,22.7,,4.6,,,,,,,67.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1008.9}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 271.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 12.3}}"
