collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),LIMASSOL,,,,,1,10,22.2,,26.3,22.1,,0.0,,0.0,,,,,71.0,0.0,1002.7,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 46.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 1.9}}"
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),LIMASSOL,,,,,1,10,27.0,,27.3,20.6,,0.9,,193.0,,,,,47.0,0.0,1003.6,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 80.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 2.4}}"
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),LIMASSOL,,,,,1,10,28.8,,28.9,20.6,,2.1,,577.0,,,,,70.0,0.0,1004.4,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 102.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 4.7}}"
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),LIMASSOL,,,,,1,10,32.4,,33.0,20.6,,2.9,,792.0,,,,,51.0,0.0,1004.8,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 245.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 7.4}}"
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),LIMASSOL,,,,,1,10,33.5,,33.8,20.6,,2.6,,808.0,,,,,51.0,0.0,1004.5,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 235.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 6.7}}"
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),LIMASSOL,,,,,1,10,32.8,,33.8,20.6,,3.7,,725.0,,,,,53.0,0.0,1004.7,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 245.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 9.8}}"
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),LIMASSOL,,,,,1,10,32.8,,33.8,20.6,,3.7,,621.0,,,,,48.0,0.0,1004.6,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 233.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 10.6}}"
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),LIMASSOL,,,,,1,10,31.6,,33.8,20.6,,4.3,,356.0,,,,,56.0,0.0,1004.5,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 255.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 11.6}}"
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),LIMASSOL,,,,,1,10,29.7,,33.8,20.6,,3.4,,209.0,,,,,71.0,0.0,1004.4,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 262.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 9.5}}"
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),LIMASSOL,,,,,1,10,29.4,,33.8,20.6,,2.4,,66.0,,,,,52.0,0.0,1004.5,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 260.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 6.8}}"
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),LIMASSOL,,,,,1,10,26.5,,33.8,20.6,,1.8,,1.0,,,,,77.0,0.0,1004.6,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 265.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 4.8}}"
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),LIMASSOL,,,,,1,10,25.5,,25.6,25.3,,2.0,,1.0,,,,,85.0,0.0,1005.2,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 251.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 5.6}}"
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),LIMASSOL,,,,,1,10,25.1,,25.6,25.1,,2.0,,1.0,,,,,90.0,0.0,1005.3,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 264.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 5.8}}"
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),LIMASSOL,,,,,1,10,24.5,,25.6,24.5,,1.8,,0.0,,,,,88.0,0.0,1005.5,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 270.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 5.0}}"
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),LIMASSOL,,,,,1,10,23.2,,25.6,23.1,,1.0,,0.0,,,,,69.0,0.0,1005.5,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 264.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 3.7}}"
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),LIMASSOL,,,,,1,10,22.2,,25.6,22.1,,0.1,,0.0,,,,,62.0,0.0,1005.1,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 324.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 0.9}}"
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),LIMASSOL,,,,,1,10,21.3,,25.6,21.2,,0.9,,0.0,,,,,60.0,0.0,1004.7,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 243.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 3.7}}"
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),LIMASSOL,,,,,1,10,20.9,,25.6,20.8,,0.0,,0.0,,,,,55.0,0.0,1005.0,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 331.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 2.6}}"
2026-08-02T04:30:00+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02 07:30 (Local Time),LIMASSOL,,,,,1,10,26.0,,26.2,20.5,,0.0,,206.0,,,,,37.0,0.0,1006.7,,,,"{""Wind Direction (10m) at Port Gate"": {""unit"": ""Degrees"", ""value"": 39.0}, ""Wind Speed (10m) at Port Gate"": {""unit"": ""Knots"", ""value"": 1.0}}"
