collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),MATHIATIS,,,,,1,10,22.5,,26.0,22.2,1.5,0.0,4.0,0.0,291.0,,,,41.0,0.0,,,0.771666,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),MATHIATIS,,,,,1,10,26.5,,26.8,22.2,1.5,0.8,410.0,216.0,236.0,,,,35.0,0.0,,,0.771666,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),MATHIATIS,,,,,1,10,32.2,,32.8,22.2,4.2,1.8,715.0,702.0,180.0,,,,30.0,0.0,,,2.160665,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),MATHIATIS,,,,,1,10,34.0,,34.2,22.2,9.0,3.5,701.0,944.0,167.0,,,,31.0,0.0,,,4.629996,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),MATHIATIS,,,,,1,10,34.9,,35.2,22.2,7.2,2.8,685.0,963.0,182.0,,,,21.0,0.0,,,3.703997,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),MATHIATIS,,,,,1,10,33.8,,35.2,22.2,11.8,4.3,695.0,897.0,178.0,,,,22.0,0.0,,,6.070439,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),MATHIATIS,,,,,1,10,35.0,,35.4,22.2,4.2,1.9,645.0,809.0,202.0,,,,22.0,0.0,,,2.160665,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),MATHIATIS,,,,,1,10,34.8,,36.3,22.2,5.1,1.2,612.0,505.0,306.0,,,,31.0,0.0,,,2.623664,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),MATHIATIS,,,,,1,10,33.2,,36.3,22.2,2.7,1.0,493.0,260.0,318.0,,,,31.0,0.0,,,1.388999,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),MATHIATIS,,,,,1,10,28.7,,36.3,22.2,2.7,0.9,85.0,27.0,292.0,,,,38.0,0.0,,,1.388999,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),MATHIATIS,,,,,1,10,25.9,,36.3,22.2,1.1,0.0,4.0,0.0,311.0,,,,39.0,0.0,,,0.565888,,
