collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),PENTAKOMO,,,,,1,8,28.1,,30.8,23.4,8.1,3.0,,,178.0,,,,75.0,0.0,,,4.166996,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),PENTAKOMO,,,,,1,8,27.7,,30.8,23.4,6.9,2.9,,,193.0,,,,75.0,0.0,,,3.549664,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),PENTAKOMO,,,,,1,8,26.6,,30.8,23.4,1.7,0.9,,,87.0,,,,72.0,0.0,,,0.874555,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),PENTAKOMO,,,,,1,8,25.8,,25.9,25.4,10.6,3.0,,,41.0,,,,70.0,0.0,,,5.453106,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),PENTAKOMO,,,,,1,8,24.7,,25.9,24.5,2.1,0.8,,,9.0,,,,71.0,0.0,,,1.080332,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),PENTAKOMO,,,,,1,8,24.1,,25.9,23.8,0.0,0.5,,,117.0,,,,65.0,0.0,,,0.0,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),PENTAKOMO,,,,,1,8,24.0,,25.9,23.5,1.4,1.1,,,100.0,,,,58.0,0.0,,,0.720222,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),PENTAKOMO,,,,,1,8,23.8,,25.9,23.5,5.7,1.9,,,286.0,,,,63.0,0.0,,,2.932331,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PENTAKOMO,,,,,1,8,23.9,,25.9,23.2,6.3,2.1,,,303.0,,,,59.0,0.0,,,3.240997,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PENTAKOMO,,,,,1,8,26.3,,26.6,22.8,3.8,1.4,,,278.0,,,,54.0,0.0,,,1.954887,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),PENTAKOMO,,,,,1,8,29.8,,30.0,22.8,3.5,1.4,,,201.0,,,,43.0,0.0,,,1.800554,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),PENTAKOMO,,,,,1,8,29.1,,30.7,22.8,3.7,1.7,,,178.0,,,,52.0,0.0,,,1.903443,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),PENTAKOMO,,,,,1,8,29.9,,31.3,22.8,7.5,3.1,,,226.0,,,,66.0,0.0,,,3.85833,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),PENTAKOMO,,,,,1,8,28.5,,31.3,22.8,11.7,5.0,,,234.0,,,,81.0,0.0,,,6.018995,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),PENTAKOMO,,,,,1,8,27.8,,31.3,22.8,9.0,3.8,,,243.0,,,,82.0,0.0,,,4.629996,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),PENTAKOMO,,,,,1,8,27.3,,31.3,22.8,9.0,3.6,,,248.0,,,,78.0,0.0,,,4.629996,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),PENTAKOMO,,,,,1,8,26.5,,26.6,26.5,5.2,1.9,,,260.0,,,,84.0,0.0,,,2.675109,,
2026-07-28T19:50:00+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28 22:50 (Local Time),PENTAKOMO,,,,,1,8,25.3,,26.6,25.1,1.6,1.0,,,2.0,,,,87.0,0.0,,,0.82311,,
2026-07-28T21:10:00+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-28T21:16:40.627872+00:00,,PENTAKOMO,,,,,0,0,,,,,,,,,,,,,,,,,,,
