collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),PAREKLISIA,,,,,1,7,32.2,,36.2,21.5,2.7,,,,201.0,,,,48.0,0.0,,,1.388999,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),PAREKLISIA,,,,,1,7,33.1,,36.2,21.5,1.7,,,,194.0,,,,41.0,0.0,,,0.874555,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),PAREKLISIA,,,,,1,7,26.4,,36.2,21.5,2.1,,,,56.0,,,,62.0,0.0,,,1.080332,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),PAREKLISIA,,,,,1,7,25.1,,25.3,25.0,2.0,,,,33.0,,,,64.0,0.0,,,1.028888,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),PAREKLISIA,,,,,1,7,24.9,,25.3,24.8,0.8,,,,9.0,,,,55.0,0.0,,,0.411555,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),PAREKLISIA,,,,,1,7,24.6,,25.3,24.2,1.0,,,,188.0,,,,54.0,0.0,,,0.514444,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),PAREKLISIA,,,,,1,7,23.4,,25.3,23.4,1.2,,,,28.0,,,,51.0,0.0,,,0.617333,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),PAREKLISIA,,,,,1,7,22.7,,25.3,22.6,0.0,,,,36.0,,,,53.0,0.0,,,0.0,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PAREKLISIA,,,,,1,7,21.5,,25.3,21.5,2.1,,,,33.0,,,,52.0,0.0,,,1.080332,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PAREKLISIA,,,,,1,7,24.5,,25.3,20.9,0.0,,,,7.0,,,,42.0,0.0,,,0.0,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),PAREKLISIA,,,,,1,7,35.0,,35.1,20.9,0.8,,,,191.0,,,,29.0,0.0,,,0.411555,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),PAREKLISIA,,,,,1,7,38.0,,38.1,20.9,2.2,,,,200.0,,,,23.0,0.0,,,1.131777,,
