collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),TROODOS,,,,,1,9,22.8,,26.3,13.8,5.5,1.5,,,9.0,,,,39.0,0.0,828.2,,2.829442,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),TROODOS,,,,,1,9,19.4,,26.3,13.8,6.0,1.8,,,358.0,,,,48.0,0.0,827.8,,3.086664,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),TROODOS,,,,,1,9,18.5,,26.3,13.8,6.6,1.7,,,347.0,,,,31.0,0.0,828.0,,3.39533,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),TROODOS,,,,,1,9,19.0,,19.1,18.6,9.7,2.5,,,359.0,,,,29.0,0.0,828.5,,4.990107,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),TROODOS,,,,,1,9,19.0,,19.5,18.6,7.7,1.9,,,4.0,,,,32.0,0.0,828.5,,3.961219,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),TROODOS,,,,,1,9,18.6,,19.5,18.3,9.7,2.5,,,3.0,,,,34.0,0.0,828.4,,4.990107,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),TROODOS,,,,,1,9,18.9,,19.5,18.3,12.0,3.5,,,345.0,,,,33.0,0.0,828.1,,6.173328,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),TROODOS,,,,,1,9,18.8,,19.5,18.3,14.1,4.3,,,347.0,,,,31.0,0.0,828.0,,7.25366,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),TROODOS,,,,,1,9,18.9,,19.5,18.3,12.9,3.6,,,350.0,,,,25.0,0.0,827.4,,6.636328,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),TROODOS,,,,,1,9,19.8,,19.9,18.1,5.3,1.6,,,351.0,,,,24.0,0.0,827.8,,2.726553,,
