collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),XYLIATOS,,,,,1,8,31.8,,33.5,20.0,5.8,,,603.0,340.0,,,,29.0,0.0,,,2.983775,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),XYLIATOS,,,,,1,8,29.3,,33.5,20.0,3.7,,,306.0,344.0,,,,37.0,0.0,,,1.903443,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),XYLIATOS,,,,,1,8,23.3,,33.5,20.0,3.0,,,11.0,344.0,,,,64.0,0.0,,,1.543332,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),XYLIATOS,,,,,1,8,22.2,,22.3,21.4,4.4,,,9.0,198.0,,,,57.0,0.0,,,2.263554,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),XYLIATOS,,,,,1,8,22.7,,23.8,21.4,2.0,,,7.0,286.0,,,,47.0,0.0,,,1.028888,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),XYLIATOS,,,,,1,8,23.2,,23.8,21.4,1.3,,,5.0,222.0,,,,34.0,0.0,,,0.668777,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),XYLIATOS,,,,,1,8,22.9,,23.8,21.4,0.0,,,4.0,336.0,,,,32.0,0.0,,,0.0,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),XYLIATOS,,,,,1,8,23.4,,23.8,21.4,0.0,,,3.0,187.0,,,,31.0,0.0,,,0.0,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),XYLIATOS,,,,,1,8,24.7,,25.3,21.4,2.9,,,6.0,205.0,,,,32.0,0.0,,,1.491888,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),XYLIATOS,,,,,1,8,26.6,,26.8,21.4,1.5,,,69.0,212.0,,,,25.0,0.0,,,0.771666,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),XYLIATOS,,,,,1,8,33.5,,34.6,21.4,1.2,,,716.0,326.0,,,,17.0,0.0,,,0.617333,,
