collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),ACHNA,,,,,1,8,33.1,,36.8,24.7,7.4,1.7,,,192.0,,,,32.0,0.0,,,3.806886,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),ACHNA,,,,,1,8,30.2,,36.8,24.7,6.2,1.6,,,190.0,,,,49.0,0.0,,,3.189553,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),ACHNA,,,,,1,8,27.0,,36.8,24.7,4.4,1.0,,,199.0,,,,74.0,0.0,,,2.263554,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),ACHNA,,,,,1,8,25.5,,26.1,25.4,1.6,0.4,,,215.0,,,,75.0,0.0,,,0.82311,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),ACHNA,,,,,1,8,25.4,,26.1,24.7,2.1,0.8,,,290.0,,,,59.0,0.0,,,1.080332,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),ACHNA,,,,,1,8,26.2,,26.3,24.7,4.9,1.7,,,296.0,,,,59.0,0.0,,,2.520776,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),ACHNA,,,,,1,8,25.7,,26.3,24.7,4.7,1.6,,,288.0,,,,47.0,0.0,,,2.417887,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),ACHNA,,,,,1,8,25.9,,26.3,24.7,4.8,1.5,,,282.0,,,,40.0,0.0,,,2.469331,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),ACHNA,,,,,1,8,23.9,,26.3,23.8,1.3,0.1,,,222.0,,,,43.0,0.0,,,0.668777,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),ACHNA,,,,,1,8,25.3,,26.3,20.9,1.1,0.5,,,196.0,,,,36.0,0.0,,,0.565888,,
