collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),CAVO_GRECO,,,,,1,9,30.9,,33.8,22.6,9.8,3.2,,,226.0,,,,54.0,0.0,1002.8,,5.041551,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),CAVO_GRECO,,,,,1,9,30.1,,33.8,22.6,8.9,2.9,,,231.0,,,,58.0,0.0,1002.1,,4.578552,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),CAVO_GRECO,,,,,1,9,26.8,,33.8,22.6,9.9,2.6,,,237.0,,,,69.0,0.0,1002.0,,5.092996,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),CAVO_GRECO,,,,,1,9,26.0,,26.3,26.0,11.7,3.3,,,235.0,,,,78.0,0.0,1002.5,,6.018995,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),CAVO_GRECO,,,,,1,9,25.9,,26.3,25.7,7.8,2.5,,,251.0,,,,73.0,0.0,1002.3,,4.012663,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),CAVO_GRECO,,,,,1,9,25.3,,26.3,24.6,8.9,3.1,,,269.0,,,,57.0,0.0,1002.1,,4.578552,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),CAVO_GRECO,,,,,1,9,24.7,,26.3,24.6,8.1,2.4,,,269.0,,,,66.0,0.0,1001.6,,4.166996,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),CAVO_GRECO,,,,,1,9,25.1,,26.3,24.6,8.9,3.1,,,268.0,,,,53.0,0.0,1001.1,,4.578552,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),CAVO_GRECO,,,,,1,9,24.5,,26.3,24.5,8.9,2.7,,,270.0,,,,49.0,0.0,1000.7,,4.578552,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),CAVO_GRECO,,,,,1,9,27.2,,27.3,23.3,7.0,2.2,,,255.0,,,,42.0,0.0,1001.1,,3.601108,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),CAVO_GRECO,,,,,1,9,28.8,,28.8,23.3,7.9,3.3,,,230.0,,,,68.0,0.0,1001.3,,4.064108,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),CAVO_GRECO,,,,,1,9,31.9,,32.2,23.3,7.5,2.2,,,172.0,,,,57.0,0.0,1001.2,,3.85833,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),CAVO_GRECO,,,,,1,9,31.2,,33.2,23.3,11.0,4.5,,,208.0,,,,56.0,0.0,1000.9,,5.658884,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),CAVO_GRECO,,,,,1,9,30.3,,33.2,23.3,8.9,3.6,,,215.0,,,,63.0,0.0,1000.0,,4.578552,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),CAVO_GRECO,,,,,1,9,29.1,,33.2,23.3,10.3,3.3,,,226.0,,,,74.0,0.0,999.2,,5.298773,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),CAVO_GRECO,,,,,1,9,26.8,,33.2,23.3,10.8,2.8,,,234.0,,,,83.0,0.0,999.1,,5.555995,,
