collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),FRENAROS,,,,,1,11,22.5,21.0,27.3,22.5,2.9,0.5,,0.0,353.0,,,,89.0,0.0,993.8,,1.491888,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),FRENAROS,,,,,1,11,29.6,30.4,29.7,22.5,1.5,0.3,,225.0,156.0,,,,73.0,0.0,994.9,,0.771666,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),FRENAROS,,,,,1,11,33.0,35.9,33.2,22.5,1.9,1.1,,698.0,189.0,,,,63.0,0.0,995.4,,0.977444,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),FRENAROS,,,,,1,11,35.9,39.7,36.1,22.5,5.2,2.3,,944.0,162.0,,,,46.0,0.0,995.6,,2.675109,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),FRENAROS,,,,,1,11,34.6,38.9,36.1,22.5,9.9,3.5,,937.0,165.0,,,,45.0,0.0,995.5,,5.092996,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),FRENAROS,,,,,1,11,33.7,37.8,36.1,22.5,8.4,3.6,,844.0,171.0,,,,47.0,0.0,995.5,,4.32133,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),FRENAROS,,,,,1,11,33.9,37.5,36.1,22.5,10.5,3.9,,731.0,170.0,,,,44.0,0.0,995.3,,5.401662,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),FRENAROS,,,,,1,11,33.3,37.2,36.1,22.5,7.9,3.1,,470.0,180.0,,,,46.0,0.0,995.2,,4.064108,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),FRENAROS,,,,,1,11,32.2,34.8,36.1,22.5,9.4,3.8,,243.0,199.0,,,,48.0,0.0,995.1,,4.835774,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),FRENAROS,,,,,1,11,30.5,30.2,36.1,22.5,6.7,2.3,,37.0,187.0,,,,47.0,0.0,995.2,,3.446775,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),FRENAROS,,,,,1,11,28.7,27.9,36.1,22.5,6.3,2.7,,0.0,211.0,,,,76.0,0.0,995.6,,3.240997,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),FRENAROS,,,,,1,11,28.7,27.4,28.9,28.7,4.9,1.7,,0.0,330.0,,,,54.0,0.0,996.0,,2.520776,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),FRENAROS,,,,,1,11,27.3,26.1,28.9,27.2,4.7,1.5,,0.0,326.0,,,,68.0,0.0,996.4,,2.417887,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),FRENAROS,,,,,1,11,27.2,25.8,28.9,27.0,3.6,1.1,,0.0,310.0,,,,66.0,0.0,996.6,,1.851998,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),FRENAROS,,,,,1,11,26.5,25.1,28.9,26.4,3.9,1.5,,0.0,290.0,,,,66.0,0.0,996.7,,2.006332,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),FRENAROS,,,,,1,11,25.7,24.3,28.9,25.6,3.4,1.1,,0.0,297.0,,,,70.0,0.0,996.4,,1.74911,,
